year,stfips,ctyfips,fips,name,avg_age,farms,acres
1870,39,81,39081,JEFFERSON,NA,1691,243122
1880,39,81,39081,JEFFERSON,NA,1927,242785
1890,39,81,39081,JEFFERSON,NA,1878,236850
1900,39,81,39081,JEFFERSON,NA,2011,246989
1910,39,81,39081,JEFFERSON,NA,1984,229405
1920,39,81,39081,JEFFERSON,NA,1866,214930
1925,39,81,39081,JEFFERSON,NA,1810,190138
1930,39,81,39081,JEFFERSON,NA,1810,178301
1935,39,81,39081,JEFFERSON,NA,2155,203075
1940,39,81,39081,JEFFERSON,52,2011,185387
1945,39,81,39081,JEFFERSON,52.1,1489,144841
1950,39,81,39081,JEFFERSON,NA,1465,151970
1954,39,81,39081,JEFFERSON,NA,1273,141335
1959,39,81,39081,JEFFERSON,53.5,871,114667
1964,39,81,39081,JEFFERSON,53.5,797,111671
1969,39,81,39081,JEFFERSON,54,504,75880
1974,39,81,39081,JEFFERSON,54,397,59997
1978,39,81,39081,JEFFERSON,51.3,476,78480
1982,39,81,39081,JEFFERSON,50.6,514,76295
1987,39,81,39081,JEFFERSON,53,440,75991
1992,39,81,39081,JEFFERSON,55,377,68344
1997,39,81,39081,JEFFERSON,53.700000762939005,410,71304
2002,39,81,39081,Ohio\Jefferson,55.4,461,67231
2007,39,81,39081,JEFFERSON,57.5,475,69468
2012,39,81,39081,Ohio\Jefferson,57.5,493,68341
1850,39,83,39083,KNOX,NA,2268,298075
1860,39,83,39083,KNOX,NA,2437,308911
1870,39,83,39083,KNOX,NA,3167,334381
1880,39,83,39083,KNOX,NA,3419,333899
1890,39,83,39083,KNOX,NA,3207,314297
1900,39,83,39083,KNOX,NA,3425,326049
1910,39,83,39083,KNOX,NA,3272,324716
1920,39,83,39083,KNOX,NA,3108,322509
1925,39,83,39083,KNOX,NA,3067,306666
1930,39,83,39083,KNOX,NA,3067,301836
1935,39,83,39083,KNOX,NA,3003,318662
1940,39,83,39083,KNOX,50.8,2893,310018
1945,39,83,39083,KNOX,50.7,2659,317472
1950,39,83,39083,KNOX,NA,2449,298198
1954,39,83,39083,KNOX,NA,2100,286717
1959,39,83,39083,KNOX,51.1,1833,267942
1964,39,83,39083,KNOX,52,1636,252806
1969,39,83,39083,KNOX,51.4000015258789,1596,249911
1974,39,83,39083,KNOX,50.299999237060504,1392,225180
1978,39,83,39083,KNOX,48.5,1358,229311
1982,39,83,39083,KNOX,50.4,1257,222002
1987,39,83,39083,KNOX,50.8,1185,222028
1992,39,83,39083,KNOX,52,1102,210601
1997,39,83,39083,KNOX,50.29999923706101,1103,206255
2002,39,83,39083,Ohio\Knox,52.5,1258,209067
2007,39,83,39083,KNOX,54.6,1270,198244
2012,39,83,39083,Ohio\Knox,54.6,1374,186047
1850,39,85,39085,LAKE,NA,1449,134303
1860,39,85,39085,LAKE,NA,1346,134099
1870,39,85,39085,LAKE,NA,1626,134615
1880,39,85,39085,LAKE,NA,1581,142288
1890,39,85,39085,LAKE,NA,1712,128708
1900,39,85,39085,LAKE,NA,1902,132214
1910,39,85,39085,LAKE,NA,1945,130748
1920,39,85,39085,LAKE,NA,1771,115819
1925,39,85,39085,LAKE,NA,1913,107740
1930,39,85,39085,LAKE,NA,1913,67740
1935,39,85,39085,LAKE,NA,1639,86280
1940,39,85,39085,LAKE,51.5,1601,83462
1945,39,85,39085,LAKE,52.1,1608,85393
1950,39,85,39085,LAKE,NA,1178,63193
1954,39,85,39085,LAKE,NA,1225,60873
1959,39,85,39085,LAKE,53.3,783,45929
1964,39,85,39085,LAKE,55.4,523,34839
1969,39,85,39085,LAKE,53.799999237060504,306,21159
1974,39,85,39085,LAKE,54.09999847412111,292,24257
1978,39,85,39085,LAKE,54.8,292,21843
1982,39,85,39085,LAKE,53.8,290,20924
1987,39,85,39085,LAKE,53.2,268,18335
1992,39,85,39085,LAKE,56,272,17138
1997,39,85,39085,LAKE,53.5,274,19053
2002,39,85,39085,Ohio\Lake,57.2,333,19785
2007,39,85,39085,LAKE,58.6,259,16065
2012,39,85,39085,Ohio\Lake,58.6,214,17125
1850,39,87,39087,LAWRENCE,NA,254,48917
1860,39,87,39087,LAWRENCE,NA,1117,140352
1870,39,87,39087,LAWRENCE,NA,1217,155471
1880,39,87,39087,LAWRENCE,NA,1947,234980
1890,39,87,39087,LAWRENCE,NA,2032,189795
1900,39,87,39087,LAWRENCE,NA,2945,209915
1910,39,87,39087,LAWRENCE,NA,2940,205345
1920,39,87,39087,LAWRENCE,NA,2430,194910
1925,39,87,39087,LAWRENCE,NA,2544,187398
1930,39,87,39087,LAWRENCE,NA,2544,187146
1935,39,87,39087,LAWRENCE,NA,2491,184282
1940,39,87,39087,LAWRENCE,51.4,2798,184186
1945,39,87,39087,LAWRENCE,51.3,2444,175427
1950,39,87,39087,LAWRENCE,NA,2155,160886
1954,39,87,39087,LAWRENCE,NA,1883,145069
1959,39,87,39087,LAWRENCE,52.5,1090,104644
1964,39,87,39087,LAWRENCE,53.2,951,102311
1969,39,87,39087,LAWRENCE,51.799999237060504,702,91349
1974,39,87,39087,LAWRENCE,50,572,74336
1978,39,87,39087,LAWRENCE,50.9,551,74148
1982,39,87,39087,LAWRENCE,52.3,630,76664
1987,39,87,39087,LAWRENCE,54.7,545,63882
1992,39,87,39087,LAWRENCE,55,512,61999
1997,39,87,39087,LAWRENCE,55.59999847412101,490,59454
2002,39,87,39087,Ohio\Lawrence,54.9,644,65326
2007,39,87,39087,LAWRENCE,56,649,65740
2012,39,87,39087,Ohio\Lawrence,56,592,64575
1850,39,89,39089,LICKING,NA,3313,401745
1860,39,89,39089,LICKING,NA,3384,325555
1870,39,89,39089,LICKING,NA,2692,377970
1880,39,89,39089,LICKING,NA,4003,458324
1890,39,89,39089,LICKING,NA,3889,405269
1900,39,89,39089,LICKING,NA,4458,417030
1910,39,89,39089,LICKING,NA,4307,414806
1920,39,89,39089,LICKING,NA,4138,405111
1925,39,89,39089,LICKING,NA,4210,396640
1930,39,89,39089,LICKING,NA,4210,386894
1935,39,89,39089,LICKING,NA,4453,407333
1940,39,89,39089,LICKING,52.3,3994,387437
1945,39,89,39089,LICKING,52,3994,396912
1950,39,89,39089,LICKING,NA,3457,372232
1954,39,89,39089,LICKING,NA,3144,371055
1959,39,89,39089,LICKING,52.3,2435,322017
1964,39,89,39089,LICKING,52.4,2050,294264
1969,39,89,39089,LICKING,51.9000015258789,1944,283786
1974,39,89,39089,LICKING,51.9000015258789,1670,267419
1978,39,89,39089,LICKING,51.3,1571,271996
1982,39,89,39089,LICKING,51.2,1552,259283
1987,39,89,39089,LICKING,52.9,1402,243431
1992,39,89,39089,LICKING,54,1256,227327
1997,39,89,39089,LICKING,54,1218,237014
2002,39,89,39089,Ohio\Licking,54.3,1482,237285
2007,39,89,39089,LICKING,56.7,1427,225792
2012,39,89,39089,Ohio\Licking,56.7,1484,224015
1850,39,91,39091,LOGAN,NA,1626,216708
1860,39,91,39091,LOGAN,NA,1982,238218
1870,39,91,39091,LOGAN,NA,1897,243817
1880,39,91,39091,LOGAN,NA,2500,269472
1890,39,91,39091,LOGAN,NA,2605,262159
1900,39,91,39091,LOGAN,NA,3172,289777
1910,39,91,39091,LOGAN,NA,2886,278978
1920,39,91,39091,LOGAN,NA,2825,274008
1925,39,91,39091,LOGAN,NA,2723,264765
1930,39,91,39091,LOGAN,NA,2723,258711
1935,39,91,39091,LOGAN,NA,2765,275737
1940,39,91,39091,LOGAN,50.8,2493,272877
1945,39,91,39091,LOGAN,49.7,2456,278661
1950,39,91,39091,LOGAN,NA,2165,271092
1954,39,91,39091,LOGAN,NA,2056,261364
1959,39,91,39091,LOGAN,50.1,1694,247875
1964,39,91,39091,LOGAN,51.4,1552,243869
1969,39,91,39091,LOGAN,49.2000007629395,1471,244799
1974,39,91,39091,LOGAN,49.7000007629395,1312,241559
1978,39,91,39091,LOGAN,48.3,1143,242755
1982,39,91,39091,LOGAN,48.4,1058,225273
1987,39,91,39091,LOGAN,50.4,979,227938
1992,39,91,39091,LOGAN,53,808,202927
1997,39,91,39091,LOGAN,51.59999847412101,895,218957
2002,39,91,39091,Ohio\Logan,52.8,1055,225093
2007,39,91,39091,LOGAN,55.6,956,201306
2012,39,91,39091,Ohio\Logan,55.6,868,212937
1850,39,93,39093,LORAIN,NA,2430,217427
1860,39,93,39093,LORAIN,NA,2964,261467
1870,39,93,39093,LORAIN,NA,3221,297597
1880,39,93,39093,LORAIN,NA,3669,340778
1890,39,93,39093,LORAIN,NA,3481,287272
1900,39,93,39093,LORAIN,NA,3660,296128
1910,39,93,39093,LORAIN,NA,3586,285729
1920,39,93,39093,LORAIN,NA,3425,278195
1925,39,93,39093,LORAIN,NA,3355,260028
1930,39,93,39093,LORAIN,NA,3355,238731
1935,39,93,39093,LORAIN,NA,3949,266713
1940,39,93,39093,LORAIN,51.4,3423,249109
1945,39,93,39093,LORAIN,50.3,3179,247724
1950,39,93,39093,LORAIN,NA,2875,234130
1954,39,93,39093,LORAIN,NA,2644,222939
1959,39,93,39093,LORAIN,52,1929,192656
1964,39,93,39093,LORAIN,52.9,1644,184638
1969,39,93,39093,LORAIN,52,1354,161901
1974,39,93,39093,LORAIN,51.5,1151,155523
1978,39,93,39093,LORAIN,50.3,1085,147805
1982,39,93,39093,LORAIN,50.7,1110,147816
1987,39,93,39093,LORAIN,51.1,985,143639
1992,39,93,39093,LORAIN,53,850,142624
1997,39,93,39093,LORAIN,53.09999847412101,778,130631
2002,39,93,39093,Ohio\Lorain,54.8,975,161918
2007,39,93,39093,LORAIN,56.1,873,124100
2012,39,93,39093,Ohio\Lorain,56.1,768,122692
1850,39,95,39095,LUCAS,NA,683,72761
1860,39,95,39095,LUCAS,NA,1307,110132
1870,39,95,39095,LUCAS,NA,1509,113503
1880,39,95,39095,LUCAS,NA,2056,142568
1890,39,95,39095,LUCAS,NA,1956,132862
1900,39,95,39095,LUCAS,NA,2807,167133
1910,39,95,39095,LUCAS,NA,2784,165457
1920,39,95,39095,LUCAS,NA,2744,152759
1925,39,95,39095,LUCAS,NA,2144,125204
1930,39,95,39095,LUCAS,NA,2144,120166
1935,39,95,39095,LUCAS,NA,2730,135244
1940,39,95,39095,LUCAS,50.4,2403,122272
1945,39,95,39095,LUCAS,49.8,2237,132745
1950,39,95,39095,LUCAS,NA,2042,121288
1954,39,95,39095,LUCAS,NA,1824,120991
1959,39,95,39095,LUCAS,51.7,1137,100885
1964,39,95,39095,LUCAS,52,990,104283
1969,39,95,39095,LUCAS,50.09999847412111,785,98521
1974,39,95,39095,LUCAS,51.299999237060504,667,98329
1978,39,95,39095,LUCAS,49.6,600,90982
1982,39,95,39095,LUCAS,50.3,574,87877
1987,39,95,39095,LUCAS,51.8,492,83205
1992,39,95,39095,LUCAS,52,411,74037
1997,39,95,39095,LUCAS,53.09999847412101,385,79583
2002,39,95,39095,Ohio\Lucas,55.6,405,77823
2007,39,95,39095,LUCAS,56,372,62906
2012,39,95,39095,Ohio\Lucas,56,330,63022
1850,39,97,39097,MADISON,NA,774,254418
1860,39,97,39097,MADISON,NA,1050,254987
1870,39,97,39097,MADISON,NA,1263,220860
1880,39,97,39097,MADISON,NA,2377,289326
1890,39,97,39097,MADISON,NA,1903,271282
1900,39,97,39097,MADISON,NA,1928,294353
1910,39,97,39097,MADISON,NA,1833,286586
1920,39,97,39097,MADISON,NA,1769,289550
1925,39,97,39097,MADISON,NA,1705,278528
1930,39,97,39097,MADISON,NA,1705,279414
1935,39,97,39097,MADISON,NA,1696,291703
1940,39,97,39097,MADISON,49.2,1552,287896
1945,39,97,39097,MADISON,48.6,1534,293252
1950,39,97,39097,MADISON,NA,1344,278043
1954,39,97,39097,MADISON,NA,1249,277208
1959,39,97,39097,MADISON,48.6,1114,277601
1964,39,97,39097,MADISON,49.4,1005,282539
1969,39,97,39097,MADISON,49.09999847412111,974,285211
1974,39,97,39097,MADISON,50.299999237060504,860,281544
1978,39,97,39097,MADISON,47.6,809,272753
1982,39,97,39097,MADISON,48.4,781,273032
1987,39,97,39097,MADISON,49.2,735,267249
1992,39,97,39097,MADISON,52,664,261320
1997,39,97,39097,MADISON,51.79999923706101,667,262350
2002,39,97,39097,Ohio\Madison,52.9,730,245886
2007,39,97,39097,MADISON,55.2,718,247913
2012,39,97,39097,Ohio\Madison,55.2,699,263275
1850,39,99,39099,MAHONING,NA,2052,229844
1860,39,99,39099,MAHONING,NA,2216,235822
1870,39,99,39099,MAHONING,NA,2416,242940
1880,39,99,39099,MAHONING,NA,2842,251714
1890,39,99,39099,MAHONING,NA,2794,237560
1900,39,99,39099,MAHONING,NA,3034,247976
1910,39,99,39099,MAHONING,NA,3024,234999
1920,39,99,39099,MAHONING,NA,2555,209056
1925,39,99,39099,MAHONING,NA,2588,196709
1930,39,99,39099,MAHONING,NA,2588,176997
1935,39,99,39099,MAHONING,NA,3009,196736
1940,39,99,39099,MAHONING,51.6,2632,180558
1945,39,99,39099,MAHONING,51.1,2765,191201
1950,39,99,39099,MAHONING,NA,2306,171097
1954,39,99,39099,MAHONING,NA,1946,156582
1959,39,99,39099,MAHONING,53.4,1326,120877
1964,39,99,39099,MAHONING,53.3,1071,105354
1969,39,99,39099,MAHONING,52.9000015258789,886,96977
1974,39,99,39099,MAHONING,53.4000015258789,679,84200
1978,39,99,39099,MAHONING,50.2,764,89948
1982,39,99,39099,MAHONING,51.6,766,86982
1987,39,99,39099,MAHONING,53.1,668,81001
1992,39,99,39099,MAHONING,54,580,73484
1997,39,99,39099,MAHONING,52.5,542,73415
2002,39,99,39099,Ohio\Mahoning,54.6,652,76543
2007,39,99,39099,MAHONING,56.7,578,64082
2012,39,99,39099,Ohio\Mahoning,56.7,578,74966
1850,39,101,39101,MARION,NA,919,177079
1860,39,101,39101,MARION,NA,1552,221656
1870,39,101,39101,MARION,NA,1646,217908
1880,39,101,39101,MARION,NA,2181,263104
1890,39,101,39101,MARION,NA,2112,232545
1900,39,101,39101,MARION,NA,2227,241191
1910,39,101,39101,MARION,NA,2141,242376
1920,39,101,39101,MARION,NA,1997,243373
1925,39,101,39101,MARION,NA,1811,229339
1930,39,101,39101,MARION,NA,1811,231241
1935,39,101,39101,MARION,NA,2055,242530
1940,39,101,39101,MARION,50.6,1838,240216
1945,39,101,39101,MARION,49.8,1600,236166
1950,39,101,39101,MARION,NA,1530,219938
1954,39,101,39101,MARION,NA,1417,219560
1959,39,101,39101,MARION,50.3,1279,225069
1964,39,101,39101,MARION,50.8,1067,217381
1969,39,101,39101,MARION,50.09999847412111,1160,240379
1974,39,101,39101,MARION,52.799999237060504,896,223348
1978,39,101,39101,MARION,48.6,873,219564
1982,39,101,39101,MARION,50.2,774,219474
1987,39,101,39101,MARION,51.6,650,224367
1992,39,101,39101,MARION,53,596,217397
1997,39,101,39101,MARION,53,543,220683
2002,39,101,39101,Ohio\Marion,55,520,205605
2007,39,101,39101,MARION,56.9,654,206832
2012,39,101,39101,Ohio\Marion,56.9,578,189210
1850,39,103,39103,MEDINA,NA,2461,221278
1860,39,103,39103,MEDINA,NA,2677,253082
1870,39,103,39103,MEDINA,NA,2722,249745
1880,39,103,39103,MEDINA,NA,3080,267214
1890,39,103,39103,MEDINA,NA,3017,251624
1900,39,103,39103,MEDINA,NA,2978,255708
1910,39,103,39103,MEDINA,NA,3159,254968
1920,39,103,39103,MEDINA,NA,3018,249572
1925,39,103,39103,MEDINA,NA,3069,241824
1930,39,103,39103,MEDINA,NA,3069,224838
1935,39,103,39103,MEDINA,NA,3385,244489
1940,39,103,39103,MEDINA,51.7,3126,233315
1945,39,103,39103,MEDINA,50.7,2991,238916
1950,39,103,39103,MEDINA,NA,2628,221799
1954,39,103,39103,MEDINA,NA,2353,212317
1959,39,103,39103,MEDINA,52,1677,174970
1964,39,103,39103,MEDINA,52,1508,160462
1969,39,103,39103,MEDINA,51.7000007629395,1288,144178
1974,39,103,39103,MEDINA,49.9000015258789,1018,121838
1978,39,103,39103,MEDINA,49.2,1107,127350
1982,39,103,39103,MEDINA,49.9,1180,128181
1987,39,103,39103,MEDINA,52.1,1012,115890
1992,39,103,39103,MEDINA,53,906,103857
1997,39,103,39103,MEDINA,53.900001525879,851,104060
2002,39,103,39103,Ohio\Medina,53.8,1188,122682
2007,39,103,39103,MEDINA,55.4,951,95493
2012,39,103,39103,Ohio\Medina,55.4,920,94978
1850,39,105,39105,MEIGS,NA,1149,145584
1860,39,105,39105,MEIGS,NA,1273,165652
1870,39,105,39105,MEIGS,NA,2181,225750
1880,39,105,39105,MEIGS,NA,2723,268053
1890,39,105,39105,MEIGS,NA,2883,245278
1900,39,105,39105,MEIGS,NA,3231,261153
1910,39,105,39105,MEIGS,NA,3036,253846
1920,39,105,39105,MEIGS,NA,2833,247377
1925,39,105,39105,MEIGS,NA,2710,237748
1930,39,105,39105,MEIGS,NA,2710,218382
1935,39,105,39105,MEIGS,NA,2886,243837
1940,39,105,39105,MEIGS,53.1,2703,222528
1945,39,105,39105,MEIGS,54.5,2312,214275
1950,39,105,39105,MEIGS,NA,1891,199746
1954,39,105,39105,MEIGS,NA,1757,188701
1959,39,105,39105,MEIGS,52.4,1301,166282
1964,39,105,39105,MEIGS,53.7,1073,147250
1969,39,105,39105,MEIGS,54.799999237060504,762,119556
1974,39,105,39105,MEIGS,52.799999237060504,602,104833
1978,39,105,39105,MEIGS,50.2,587,104757
1982,39,105,39105,MEIGS,50.6,595,101358
1987,39,105,39105,MEIGS,51.2,528,85076
1992,39,105,39105,MEIGS,54,493,87036
1997,39,105,39105,MEIGS,52.900001525879,491,84761
2002,39,105,39105,Ohio\Meigs,54.5,552,90362
2007,39,105,39105,MEIGS,56.3,551,77755
2012,39,105,39105,Ohio\Meigs,56.3,588,75801
1850,39,107,39107,MERCER,NA,675,74434
1860,39,107,39107,MERCER,NA,1830,180224
1870,39,107,39107,MERCER,NA,2357,223530
1880,39,107,39107,MERCER,NA,2740,258465
1890,39,107,39107,MERCER,NA,2961,265150
1900,39,107,39107,MERCER,NA,3288,274909
1910,39,107,39107,MERCER,NA,3213,277605
1920,39,107,39107,MERCER,NA,3040,276716
1925,39,107,39107,MERCER,NA,2961,274664
1930,39,107,39107,MERCER,NA,2961,270256
1935,39,107,39107,MERCER,NA,3026,278637
1940,39,107,39107,MERCER,49,2795,278007
1945,39,107,39107,MERCER,48.6,2624,282002
1950,39,107,39107,MERCER,NA,2556,280878
1954,39,107,39107,MERCER,NA,2389,278282
1959,39,107,39107,MERCER,48.3,2184,280793
1964,39,107,39107,MERCER,48.4,1978,278894
1969,39,107,39107,MERCER,48,2029,292024
1974,39,107,39107,MERCER,47.9000015258789,1796,277067
1978,39,107,39107,MERCER,46.9,1634,270972
1982,39,107,39107,MERCER,46.9,1614,271675
1987,39,107,39107,MERCER,46.6,1562,276361
1992,39,107,39107,MERCER,48,1393,269163
1997,39,107,39107,MERCER,48.59999847412101,1255,260935
2002,39,107,39107,Ohio\Mercer,50.8,1268,268569
2007,39,107,39107,MERCER,52.7,1302,293026
2012,39,107,39107,Ohio\Mercer,52.7,1208,273152
1850,39,109,39109,MIAMI,NA,1882,209970
1860,39,109,39109,MIAMI,NA,2154,237587
1870,39,109,39109,MIAMI,NA,2230,229729
1880,39,109,39109,MIAMI,NA,2629,241052
1890,39,109,39109,MIAMI,NA,2706,233642
1900,39,109,39109,MIAMI,NA,2989,249411
1910,39,109,39109,MIAMI,NA,3328,247456
1920,39,109,39109,MIAMI,NA,3260,247273
1925,39,109,39109,MIAMI,NA,3180,236136
1930,39,109,39109,MIAMI,NA,3180,238804
1935,39,109,39109,MIAMI,NA,3071,244917
1940,39,109,39109,MIAMI,49.9,2867,236753
1945,39,109,39109,MIAMI,48.5,2682,239364
1950,39,109,39109,MIAMI,NA,2527,234140
1954,39,109,39109,MIAMI,NA,2253,223476
1959,39,109,39109,MIAMI,49.8,1938,220429
1964,39,109,39109,MIAMI,50.1,1515,216573
1969,39,109,39109,MIAMI,48.5,1715,224071
1974,39,109,39109,MIAMI,49.7000007629395,1311,200975
1978,39,109,39109,MIAMI,48.1,1292,204347
1982,39,109,39109,MIAMI,48.6,1224,196508
1987,39,109,39109,MIAMI,50.2,1133,209643
1992,39,109,39109,MIAMI,52,1017,200405
1997,39,109,39109,MIAMI,52.79999923706101,983,192376
2002,39,109,39109,Ohio\Miami,54,1071,184028
2007,39,109,39109,MIAMI,55.4,1048,196943
2012,39,109,39109,Ohio\Miami,55.4,1068,184233
1850,39,111,39111,MONROE,NA,2637,288449
1860,39,111,39111,MONROE,NA,2743,267286
1870,39,111,39111,MONROE,NA,3078,294729
1880,39,111,39111,MONROE,NA,2954,280943
1890,39,111,39111,MONROE,NA,3048,279647
1900,39,111,39111,MONROE,NA,3485,281464
1910,39,111,39111,MONROE,NA,3288,271577
1920,39,111,39111,MONROE,NA,3062,267944
1925,39,111,39111,MONROE,NA,2813,247332
1930,39,111,39111,MONROE,NA,2813,242891
1935,39,111,39111,MONROE,NA,2889,258233
1940,39,111,39111,MONROE,52.6,2986,260084
1945,39,111,39111,MONROE,53.3,2274,231060
1950,39,111,39111,MONROE,NA,2238,236897
1954,39,111,39111,MONROE,NA,1709,206915
1959,39,111,39111,MONROE,53,1255,163568
1964,39,111,39111,MONROE,53.1,1246,171616
1969,39,111,39111,MONROE,53.5,905,136045
1974,39,111,39111,MONROE,51.7000007629395,820,126523
1978,39,111,39111,MONROE,51.7,798,130098
1982,39,111,39111,MONROE,52.7,825,130542
1987,39,111,39111,MONROE,55.6,716,116429
1992,39,111,39111,MONROE,56,628,109986
1997,39,111,39111,MONROE,51.400001525879,589,109650
2002,39,111,39111,Ohio\Monroe,55.7,654,107198
2007,39,111,39111,MONROE,57.8,636,99306
2012,39,111,39111,Ohio\Monroe,57.8,823,111161
1850,39,113,39113,MONTGOMERY,NA,2068,260539
1860,39,113,39113,MONTGOMERY,NA,2794,274942
1870,39,113,39113,MONTGOMERY,NA,2780,256985
1880,39,113,39113,MONTGOMERY,NA,3639,279584
1890,39,113,39113,MONTGOMERY,NA,3900,268774
1900,39,113,39113,MONTGOMERY,NA,4462,280938
1910,39,113,39113,MONTGOMERY,NA,4994,268402
1920,39,113,39113,MONTGOMERY,NA,4460,260307
1925,39,113,39113,MONTGOMERY,NA,3972,238183
1930,39,113,39113,MONTGOMERY,NA,3972,232092
1935,39,113,39113,MONTGOMERY,NA,4587,245425
1940,39,113,39113,MONTGOMERY,50.5,4163,234799
1945,39,113,39113,MONTGOMERY,50.3,3612,230543
1950,39,113,39113,MONTGOMERY,NA,3259,214503
1954,39,113,39113,MONTGOMERY,NA,2583,197451
1959,39,113,39113,MONTGOMERY,52,1990,174466
1964,39,113,39113,MONTGOMERY,52.6,1612,156291
1969,39,113,39113,MONTGOMERY,51.09999847412111,1475,148025
1974,39,113,39113,MONTGOMERY,50.799999237060504,1220,136691
1978,39,113,39113,MONTGOMERY,49.7,1149,131605
1982,39,113,39113,MONTGOMERY,50.8,1067,121002
1987,39,113,39113,MONTGOMERY,53.1,940,118678
1992,39,113,39113,MONTGOMERY,54,806,107157
1997,39,113,39113,MONTGOMERY,54.700000762939005,760,105965
2002,39,113,39113,Ohio\Montgomery,54.8,832,101912
2007,39,113,39113,MONTGOMERY,56.7,804,111000
2012,39,113,39113,Ohio\Montgomery,56.7,770,124105
1850,39,115,39115,MORGAN,NA,2126,270840
1860,39,115,39115,MORGAN,NA,2093,241875
1870,39,115,39115,MORGAN,NA,2214,243668
1880,39,115,39115,MORGAN,NA,2419,284000
1890,39,115,39115,MORGAN,NA,2519,252697
1900,39,115,39115,MORGAN,NA,2741,260760
1910,39,115,39115,MORGAN,NA,2653,254407
1920,39,115,39115,MORGAN,NA,2378,249034
1925,39,115,39115,MORGAN,NA,2191,235883
1930,39,115,39115,MORGAN,NA,2191,242904
1935,39,115,39115,MORGAN,NA,2318,247871
1940,39,115,39115,MORGAN,53.4,2186,240768
1945,39,115,39115,MORGAN,53.6,1708,223168
1950,39,115,39115,MORGAN,NA,1766,220378
1954,39,115,39115,MORGAN,NA,1469,208794
1959,39,115,39115,MORGAN,52.5,1131,176483
1964,39,115,39115,MORGAN,53,922,156979
1969,39,115,39115,MORGAN,53.4000015258789,714,128564
1974,39,115,39115,MORGAN,52.9000015258789,583,113789
1978,39,115,39115,MORGAN,51.4,635,124831
1982,39,115,39115,MORGAN,52.1,645,116495
1987,39,115,39115,MORGAN,55,590,112208
1992,39,115,39115,MORGAN,55,559,113892
1997,39,115,39115,MORGAN,55.900001525879,500,98265
2002,39,115,39115,Ohio\Morgan,54.8,508,100198
2007,39,115,39115,MORGAN,56.8,524,102271
2012,39,115,39115,Ohio\Morgan,56.8,510,95174
1850,39,117,39117,MORROW,NA,1552,179927
1860,39,117,39117,MORROW,NA,2168,241998
1870,39,117,39117,MORROW,NA,2445,242513
1880,39,117,39117,MORROW,NA,2771,263843
1890,39,117,39117,MORROW,NA,2735,243288
1900,39,117,39117,MORROW,NA,2728,248403
1910,39,117,39117,MORROW,NA,2743,249236
1920,39,117,39117,MORROW,NA,2570,239345
1925,39,117,39117,MORROW,NA,2421,232241
1930,39,117,39117,MORROW,NA,2421,231738
1935,39,117,39117,MORROW,NA,2641,249120
1940,39,117,39117,MORROW,50,2315,233275
1945,39,117,39117,MORROW,50,2355,249993
1950,39,117,39117,MORROW,NA,2241,239961
1954,39,117,39117,MORROW,NA,2085,230860
1959,39,117,39117,MORROW,50.3,1823,223076
1964,39,117,39117,MORROW,51.5,1364,192052
1969,39,117,39117,MORROW,51.59999847412111,1423,198560
1974,39,117,39117,MORROW,51,1153,187546
1978,39,117,39117,MORROW,49.4,1065,181017
1982,39,117,39117,MORROW,49.3,1005,170711
1987,39,117,39117,MORROW,52.3,864,165764
1992,39,117,39117,MORROW,53,746,164607
1997,39,117,39117,MORROW,51.900001525879,759,161202
2002,39,117,39117,Ohio\Morrow,52.6,863,179051
2007,39,117,39117,MORROW,54,874,165023
2012,39,117,39117,Ohio\Morrow,54,824,167736
1850,39,119,39119,MUSKINGUM,NA,2680,370591
1860,39,119,39119,MUSKINGUM,NA,2358,364023
1870,39,119,39119,MUSKINGUM,NA,2889,385804
1880,39,119,39119,MUSKINGUM,NA,3609,424567
1890,39,119,39119,MUSKINGUM,NA,3630,395542
1900,39,119,39119,MUSKINGUM,NA,3974,405481
1910,39,119,39119,MUSKINGUM,NA,3861,396442
1920,39,119,39119,MUSKINGUM,NA,3688,392152
1925,39,119,39119,MUSKINGUM,NA,3618,358322
1930,39,119,39119,MUSKINGUM,NA,3618,351988
1935,39,119,39119,MUSKINGUM,NA,3843,369553
1940,39,119,39119,MUSKINGUM,53.1,3381,330142
1945,39,119,39119,MUSKINGUM,52.9,2904,338949
1950,39,119,39119,MUSKINGUM,NA,2660,312740
1954,39,119,39119,MUSKINGUM,NA,2584,321581
1959,39,119,39119,MUSKINGUM,52.6,1916,276555
1964,39,119,39119,MUSKINGUM,52.6,1688,251435
1969,39,119,39119,MUSKINGUM,52.5,1291,226932
1974,39,119,39119,MUSKINGUM,52.4000015258789,1091,190983
1978,39,119,39119,MUSKINGUM,51.4,1131,208704
1982,39,119,39119,MUSKINGUM,53.1,1135,209833
1987,39,119,39119,MUSKINGUM,54.3,1094,194218
1992,39,119,39119,MUSKINGUM,55,1051,187718
1997,39,119,39119,MUSKINGUM,54.59999847412101,1018,180034
2002,39,119,39119,Ohio\Muskingum,55.8,1222,193175
2007,39,119,39119,MUSKINGUM,56.9,1162,166448
2012,39,119,39119,Ohio\Muskingum,56.9,1259,173269
1860,39,121,39121,NOBLE,NA,2038,243476
1870,39,121,39121,NOBLE,NA,2106,237519
1880,39,121,39121,NOBLE,NA,2432,260896
1890,39,121,39121,NOBLE,NA,2530,243490
1900,39,121,39121,NOBLE,NA,2826,248495
